year,month,value
2010,1,11344.0
2010,2,11327.0
2010,3,11353.0
2010,4,11411.0
2010,5,11485.0
2010,6,11599.0
2010,7,11600.0
2010,8,11636.0
2010,9,11623.0
2010,10,11603.0
2010,11,11595.0
2010,12,11588.0
2011,1,11508.0
2011,2,11526.0
2011,3,11572.0
2011,4,11624.0
2011,5,11673.0
2011,6,11784.0
2011,7,11796.0
2011,8,11846.0
2011,9,11823.0
2011,10,11808.0
2011,11,11772.0
2011,12,11782.0
2012,1,11717.0
2012,2,11732.0
2012,3,11803.0
2012,4,11833.0
2012,5,11894.0
2012,6,12005.0
2012,7,12017.0
2012,8,12038.0
2012,9,12003.0
2012,10,11974.0
2012,11,11933.0
2012,12,11937.0
2013,1,11859.0
2013,2,11880.0
2013,3,11914.0
2013,4,11924.0
2013,5,11973.0
2013,6,12064.0
2013,7,12032.0
2013,8,12084.0
2013,9,12068.0
2013,10,12058.0
2013,11,12057.0
2013,12,12061.0
2014,1,11964.0
2014,2,11996.0
2014,3,12037.0
2014,4,12056.0
2014,5,12115.0
2014,6,12230.0
2014,7,12234.0
2014,8,12271.0
2014,9,12251.0
2014,10,12249.0
2014,11,12258.0
2014,12,12268.0
2015,1,12177.0
2015,2,12193.0
2015,3,12227.0
2015,4,12240.0
2015,5,12292.0
2015,6,12396.0
2015,7,12400.0
2015,8,12406.0
2015,9,12368.0
2015,10,12347.0
2015,11,12327.0
2015,12,12340.0
2016,1,12265.0
2016,2,12261.0
2016,3,12259.0
2016,4,12270.0
2016,5,12287.0
2016,6,12410.0
2016,7,12414.0
2016,8,12407.0
2016,9,12352.0
2016,10,12326.0
2016,11,12308.0
2016,12,12323.0
2017,1,12245.0
2017,2,12284.0
2017,3,12308.0
2017,4,12316.0
2017,5,12355.0
2017,6,12472.0
2017,7,12459.0
2017,8,12514.0
2017,9,12471.0
2017,10,12466.0
2017,11,12476.0
2017,12,12515.0
2018,1,12435.0
2018,2,12487.0
2018,3,12524.0
2018,4,12545.0
2018,5,12601.0
2018,6,12739.0
2018,7,12746.0
2018,8,12766.0
2018,9,12738.0
2018,10,12735.0
2018,11,12744.0
2018,12,12778.0
2019,1,12701.0
2019,2,12726.0
2019,3,12737.0
2019,4,12732.0
2019,5,12762.0
2019,6,12867.0
2019,7,12856.0
2019,8,12861.0
2019,9,12808.0
2019,10,12738.0
2019,11,12783.0
2019,12,12784.0
2020,1,12666.0
2020,2,12687.0
2020,3,12633.0
2020,4,11326.0
2020,5,11584.0
2020,6,12021.0
2020,7,12054.0
2020,8,12076.0
2020,9,12080.0
2020,10,12094.0
2020,11,12122.0
2020,12,12182.0
2021,1,12066.0
2021,2,12127.0
2021,3,12183.0
2021,4,12139.0
2021,5,12193.0
2021,6,12318.0
2021,7,12382.0
2021,8,12420.0
2021,9,12399.0
2021,10,12456.0
2021,11,12501.0
2021,12,12552.0
2022,1,12469.0
2022,2,12555.0
2022,3,12629.0
2022,4,12674.0
2022,5,12716.0
2022,6,12845.0
2022,7,12867.0
2022,8,12898.0
2022,9,12854.0
2022,10,12884.0
2022,11,12898.0
2022,12,12910.0
2023,1,12808.0
2023,2,12846.0
2023,3,12842.0
2023,4,12844.0
2023,5,12853.0
2023,6,12955.0
2023,7,12928.0
2023,8,12927.0
2023,9,12876.0
2023,10,12837.0
2023,11,12861.0
2023,12,12895.0
2024,1,12781.0
2024,2,12800.0
2024,3,12790.0
2024,4,12801.0
2024,5,12829.0
2024,6,12908.0
2024,7,12904.0
2024,8,12868.0
2024,9,12815.0
2024,10,12749.0
2024,11,12775.0
2024,12,12786.0
